SESSION_ID|SKU_NUM
140068709682|798644
140068709682|799238
140068709682|8284111
307171856158|433441
307171856158|672062
307171856158|938357
310940849524|798653
310940849524|798662
440610817191|308239
440610817191|308478
440610817191|326901
440610817191|508562
440610817191|574943
791968290456|306613
791968290456|834338
1056259623612|1759195
1056259623612|1825282
1056259623612|1825300
1056259623612|886564
1056259623612|912393
1225146723356|824025
1225146723356|984833
1372579224992|273905
1372579224992|390986
1520399034854|221630
1520399034854|440994
1634655891612|9773205
1634655891612|9822747
1634655891612|9916649
1775178492254|702293
1775178492254|811191
1972738513231|203070
1972738513231|557018
1972738513231|677252
1972738513231|746243
2081672509139|1614340
2081672509139|376356
2081672509139|498927
2081672509139|592995
2081672509139|593125
2081672509139|593130
2081672509139|991533
2288080183686|151234
2288080183686|272498
2288080183686|390368
2288080183686|511763
2336705353841|101232
2336705353841|328374
2336705353841|426878
2336705353841|465617
2336705353841|747595
2336705353841|827672
2336705353841|851204
2377228314870|726853
2377228314870|726862
2420265177709|169750
2420265177709|287528
2420265177709|510852
2825211690866|185187
2825211690866|845113
3156897302764|786574
3156897302764|798626
3156897302764|798644
3156897302764|798806
3156897302764|798878
3156897302764|803252
3156897302764|902909
3312508447138|591147
3312508447138|596047
3747483942951|213129
3747483942951|314648
3747483942951|314984
3747483942951|5096122
3748696286731|4636728
3748696286731|9056330
3748696286731|9861563
3748696286731|9979473
3907371577479|639055
3907371577479|655795
4257014011671|242775
4257014011671|279376
4257014011671|681114
4257014011671|821416
4333463255617|430669
4333463255617|430723
4567032423191|671507
4567032423191|683707
4591102412941|304576
4591102412941|476886
4592870119433|566309
4592870119433|744963
4592870119433|771207
4695978871106|196517
4695978871106|196655
5111968947157|1209826
5111968947157|256564
5111968947157|264496
5302533954199|599180
5302533954199|618930
