SESSION_ID|AGENT_ID|SKU_NUM
140068709682|82041540561613271694223|798644
140068709682|82041540561613271694223|799238
140068709682|82041540561613271694223|8284111
307171856158|80031540652853011880052|433441
307171856158|80031540652853011880052|672062
307171856158|80031540652853011880052|938357
